geneid	Sam_11F	Sam_12F	Sam_14F	Sam_15F	Sam_1F	Sam_20F	Sam_22F	Sam_23F	Sam_24F	Sam_25F	Sam_27F	Sam_28F	Sam_29F	Sam_31F	Sam_34F	Sam_36F	Sam_38F	Sam_39F	Sam_42F	Sam_43F	Sam_44F	Sam_45F	Sam_50F	Sam_55F	Sam_7F
CSF1R	0.000427592	0.001799795	0.000832756	0.000475617	0.001233855	0.000878996	0.000701482	0.000891752	0.001034131	0.000565591	0.001111124	0.000868525	0.000608144	0.000797137	0.000516616	0.000175377	0.001077289	0.000649641	0.000560859	0.00109077	0.000663889	0.001007769	0.000901909	0.001074128	0.00075471
CSF3R	0.000257337	0.000165519	0.000159395	0.000102465	0.001486692	0.000293697	0.000225975	0.000305062	0.000420771	0.000278748	0.000657115	0.000177965	0.000388742	0.000400449	0.000595192	0.000166793	0.000210447	0.000248645	0.000155877	0.000598293	0.000376875	0.000611136	0.000190543	0.000310575	0.000123179
CTCF	0.001193881	0.001210297	0.001516746	0.001533676	0.001312986	0.001071689	0.001456266	0.001489419	0.001247941	0.001331651	0.001577429	0.001319435	0.000711305	0.001291471	0.001119302	0.000180931	0.001201661	0.001092719	0.001614557	0.001622447	0.001653553	0.001334251	0.001040594	0.00105559	0.001207281
CTLA4	8.90E-05	9.97E-05	5.15E-05	5.32E-05	0.000532585	9.46E-05	3.91E-05	0.000106235	0.0001006	3.99E-05	9.45E-05	7.83E-05	6.10E-05	0.000100745	6.39E-05	6.41E-05	8.34E-05	0.000118984	5.01E-05	6.75E-05	0.000154409	0.000220644	5.47E-05	0.000111351	5.19E-05
CTNNA1	0.005571319	0.006057771	0.009211665	0.00692566	0.002223192	0.005074959	0.006508301	0.004945243	0.005923768	0.005459457	0.003850695	0.008570455	0.001662795	0.007431455	0.005551363	0.000143979	0.005759711	0.003656722	0.004993186	0.005676718	0.005954998	0.003870285	0.003847339	0.003590377	0.008145791
CTNNB1	0.011917129	0.014218603	0.01185283	0.016624703	0.00519166	0.009872846	0.012439869	0.012497217	0.012420031	0.01009585	0.011760391	0.012681319	0.005748953	0.011744728	0.009501298	0.000405186	0.010552194	0.010331948	0.009882057	0.011775373	0.012834015	0.008485751	0.009829904	0.00844426	0.0150361
CUL3	0.000693019	0.000700476	0.000889288	0.00111952	0.000238144	0.00060299	0.000930032	0.000869764	0.000757923	0.000645024	0.000946641	0.000784579	0.000284156	0.00074821	0.000661364	3.50E-05	0.000663505	0.000645361	0.001166661	0.001125565	0.001054525	0.000611228	0.000652224	0.000678774	0.000926887
CXCR4	0.000670532	0.001179217	0.000840102	0.000743071	0.003447278	0.000546222	0.000928031	0.001139785	0.000768301	0.000447997	0.002064351	0.001052013	0.000614941	0.000782666	0.000636835	0.000387058	0.000485373	0.001808862	0.000667626	0.001746511	0.001623671	0.003347669	0.001207069	0.002219901	0.001042892
CYLD	0.000217984	0.00051454	0.000565685	0.000472764	0.000948554	0.000271824	0.000442014	0.000489136	0.000353896	0.000366187	0.000660119	0.000435123	0.000400292	0.00040374	0.000236368	8.43E-05	0.000341923	0.000595585	0.000512925	0.000578171	0.000749398	0.001066927	0.000274238	0.000433433	0.00055285
CYP19A1	1.38E-05	2.87E-06	2.99E-06	1.01E-05	0.000164036	1.29E-05	1.15E-05	5.23E-06	1.18E-05	6.42E-06	8.12E-06	2.98E-06	1.27E-05	3.22E-06	6.78E-06	1.61E-05	1.10E-05	1.11E-05	5.13E-06	4.44E-06	1.05E-05	4.00E-05	9.71E-07	6.67E-07	5.22E-06
CYP1B1	4.12E-05	1.10E-05	8.54E-06	2.21E-05	0.000139395	1.06E-05	7.25E-06	6.94E-06	6.32E-06	7.55E-06	4.94E-06	5.21E-06	1.21E-05	9.05E-06	6.69E-06	3.25E-05	7.72E-06	8.91E-06	1.14E-05	5.77E-06	1.10E-05	1.04E-05	9.07E-06	7.46E-06	6.25E-06
CYP2C19	5.43E-05	3.73E-05	9.96E-05	3.64E-05	0.000115302	2.40E-05	8.00E-05	3.00E-05	2.32E-05	0.000100661	5.50E-05	3.93E-05	1.96E-05	0.000138559	5.75E-05	2.60E-05	2.67E-05	3.16E-05	7.04E-05	1.90E-05	0.000258433	6.59E-05	1.07E-05	2.29E-05	0.000141592
CYP2C8	1.61E-05	4.33E-06	1.06E-06	4.43E-06	0.00012103	1.06E-05	0	2.29E-06	3.08E-06	3.08E-06	9.59E-07	3.12E-06	6.45E-06	2.57E-06	1.82E-06	1.20E-05	3.17E-06	1.04E-05	2.05E-06	1.46E-06	2.28E-06	2.67E-05	6.81E-07	8.74E-07	5.75E-06
CYP2C9	2.64E-05	2.04E-05	3.51E-05	1.51E-05	0.000116063	1.23E-05	4.12E-05	1.82E-05	1.08E-05	4.94E-05	3.46E-05	1.40E-05	1.42E-05	4.82E-05	2.17E-05	7.39E-06	1.19E-05	1.64E-05	1.79E-05	5.80E-06	0.00012981	6.93E-05	6.23E-06	4.43E-06	5.85E-05
CYP2D6	3.98E-05	1.78E-05	8.97E-05	3.69E-05	0.000328865	0.000113524	3.54E-05	9.28E-05	9.19E-05	0.000189729	7.30E-05	3.14E-05	0.000143517	4.33E-05	6.47E-05	5.57E-05	0.000123903	7.04E-05	5.32E-05	3.89E-05	5.74E-05	9.56E-05	1.09E-05	4.82E-06	4.80E-05
CYP3A4	4.87E-07	7.97E-07	1.48E-05	5.76E-07	2.34E-06	7.97E-07	3.07E-06	2.59E-07	3.88E-07	8.71E-07	9.08E-07	2.42E-05	0	9.98E-08	1.70E-07	1.83E-06	2.43E-07	8.61E-06	6.95E-07	9.78E-07	1.10E-06	3.30E-06	4.85E-07	7.61E-07	3.47E-06
DAXX	0.001301825	0.001069764	0.000967249	0.001032652	0.002356588	0.001203185	0.001104767	0.001155925	0.001210066	0.001309662	0.001080955	0.001115104	0.000834483	0.001046485	0.000912835	0.000467279	0.001177761	0.001116551	0.001088365	0.001213323	0.001045458	0.001503581	0.000994699	0.001336935	0.001107758
DCUN1D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDR2	0.000189468	0.00150354	0.000471847	0.000431337	0.000504025	0.000221382	0.000237463	0.000228895	0.000271095	0.000137122	0.000444899	0.000454837	0.000200374	0.000366198	0.000271752	6.00E-05	0.000199955	0.000332593	0.000385597	0.000673975	0.000309976	0.000453107	0.000397786	0.000373531	0.000220676
DHFR	7.74E-05	6.80E-05	0.00012458	0.000137852	0.000135034	6.44E-05	0.000110703	9.81E-05	4.22E-05	0.000129241	0.000194955	5.64E-05	9.92E-05	0.000115942	9.16E-05	1.29E-05	8.15E-05	0.000179177	0.000304331	7.52E-05	0.000115482	0.000181844	0.000133509	0.000153405	0.000116195
DICER1	0.000756296	0.000714989	0.000845986	0.001111782	0.001090472	0.000690555	0.00092643	0.001244151	0.000919249	0.000893903	0.001381414	0.000737064	0.000814465	0.000611131	0.000641089	0.000128892	0.000862858	0.001270695	0.001213691	0.001349345	0.001076662	0.001148401	0.000686003	0.000781979	0.000871219
DIS3	0.000348397	0.000386553	0.000500013	0.000560985	0.000149406	0.000338439	0.000520496	0.000547445	0.000433504	0.000393015	0.000617073	0.000431325	0.000243139	0.000359335	0.00046178	1.59E-05	0.000394223	0.000480205	0.000544251	0.000596937	0.000524032	0.000348659	0.00029327	0.000353099	0.000646074
DNAJB1	0.001256036	0.000852672	0.000840608	0.000739935	0.002375386	0.00104931	0.001091149	0.000901441	0.000998409	0.000898846	0.000786148	0.001023754	0.000576115	0.000906903	0.001085567	0.000161934	0.001003316	0.000916062	0.000814116	0.00101538	0.00103053	0.001035916	0.000680472	0.000844998	0.000834134
DNM2	0.007725898	0.007049959	0.009198441	0.005811541	0.00741071	0.008716254	0.008640676	0.008536609	0.00757896	0.008421321	0.00635852	0.009813177	0.004613661	0.007644999	0.006192001	0.000642549	0.010300282	0.007546663	0.006404585	0.007508437	0.00649884	0.005042246	0.004568335	0.005647551	0.009426407
DNMT1	0.002764902	0.001429439	0.001721897	0.001470339	0.00177192	0.001799627	0.001650079	0.00149697	0.00171359	0.002036687	0.002043706	0.001163925	0.000654912	0.001715319	0.002262298	0.000128442	0.001623343	0.001622183	0.001912972	0.000998463	0.001466557	0.001374287	0.001718038	0.000950322	0.00133064
DNMT3A	0.001579621	0.001164242	0.000572669	0.001166407	0.00387585	0.001853862	0.001322146	0.001770218	0.001781199	0.001767708	0.001569296	0.000921725	0.001097808	0.000615467	0.001136808	0.000425934	0.001920514	0.001758496	0.001199367	0.001195361	0.001433111	0.001243129	0.00062596	0.000904735	0.000551263
DNMT3B	8.51E-05	5.26E-05	3.91E-05	5.12E-05	0.000335426	0.000101532	5.21E-05	4.62E-05	6.23E-05	8.14E-05	7.58E-05	4.13E-05	4.10E-05	5.96E-05	7.37E-05	5.22E-05	8.00E-05	7.03E-05	3.53E-05	3.14E-05	5.78E-05	7.52E-05	3.88E-05	2.51E-05	3.04E-05
DOT1L	0.00043845	0.000242978	0.000450227	0.000245046	0.000909654	0.000361863	0.000380552	0.000394303	0.000326096	0.000471958	0.00042878	0.000362433	0.000307892	0.000275126	0.00036603	0.000186077	0.00038335	0.00041002	0.00035166	0.000239376	0.000327874	0.00037227	0.000234	0.000195541	0.000272986
DPYD	2.62E-05	0.00012886	8.35E-05	0.000101414	6.77E-05	4.84E-05	8.12E-05	0.00011368	5.43E-05	5.26E-05	8.46E-05	8.60E-05	3.33E-05	7.10E-05	6.61E-05	4.15E-06	4.76E-05	0.000201891	8.03E-05	8.44E-05	0.000152897	0.000248521	6.17E-05	6.06E-05	4.82E-05
DYNC2H1	0	0	0	0	0	0	0	2.49E-08	1.48E-08	0	0	0	1.61E-07	0	0	0	0	0	0	0	0	0	0	0	0
E2F3	0.000263892	0.000180668	0.000243113	0.000311316	0.000598434	0.000221063	0.000313818	0.000314933	0.000237299	0.000266727	0.000387841	0.000159137	0.000281827	0.000209044	0.00027357	0.00010618	0.000233059	0.000389752	0.000318715	0.000304563	0.000305	0.000423224	0.000220445	0.000307638	0.000279047
EED	0.000209434	0.000182103	0.000228949	0.00029231	0.000286302	0.000209353	0.000368297	0.000288232	0.000210026	0.000254883	0.000319177	0.000184405	0.000170865	0.000195342	0.000183904	3.12E-05	0.000211262	0.000344591	0.000402912	0.000256704	0.000257284	0.000445323	0.000208197	0.000237375	0.00027474
EGFL7	0.000341735	0.000648919	0.000364787	0.000204888	0.00095322	0.000446151	0.000356737	0.000310702	0.000522861	0.000382304	0.000250177	0.000424825	0.000281111	0.000559296	0.000444709	7.36E-05	0.000359851	0.000586514	0.000226296	0.000326809	0.000485495	0.000357903	0.000236907	0.000273816	0.000282457
EGFR	0.002420113	0.002356168	0.002221832	0.002343152	0.004725411	0.002861898	0.002776913	0.002251736	0.002322547	0.002906185	0.001622734	0.003501844	0.001552766	0.001745724	0.001517212	0.000490181	0.002405005	0.002695951	0.002599755	0.003136476	0.002609621	0.003021588	0.001309858	0.00152686	0.00231498
EIF1AX	0.000152485	0.000145299	0.000152128	0.000210602	5.18E-05	0.000124761	0.000196583	0.000174011	0.000240601	9.80E-05	0.000135217	0.000120923	6.46E-05	0.000139254	0.000162099	6.02E-06	0.000120399	7.61E-05	0.00025586	0.000269956	0.000147081	4.07E-05	0.000139307	0.000225938	0.000286932
EIF4A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4E	0.000167129	0.000148412	0.000331756	0.00029945	0.000189582	0.000109668	0.000225788	0.000217585	0.00015185	0.000141334	0.000307285	0.000170073	0.00017567	0.000232435	0.000180743	1.43E-05	0.000133874	0.000261143	0.000397615	0.000296428	0.000254464	0.000520305	0.000214142	0.000278838	0.000256771
ELAC2	0.002758407	0.001922845	0.001887298	0.002216795	0.001993449	0.002322513	0.002365608	0.001732203	0.002024562	0.002137137	0.001684038	0.002034661	0.001034515	0.001739009	0.001968031	0.000138291	0.002020221	0.001639142	0.001445049	0.001777298	0.001964611	0.001213647	0.001868048	0.001452829	0.002276243
EP300	0.001282541	0.001429322	0.001767069	0.001911653	0.001175757	0.001395713	0.001926433	0.002114195	0.001717221	0.00186028	0.002214851	0.001715903	0.001516789	0.001379629	0.001130027	0.000182084	0.001609881	0.002803555	0.002173765	0.002395426	0.002079955	0.002050101	0.001201875	0.001664508	0.001416159
EPCAM	0.024568984	0.032568697	0.048198543	0.046550735	0.007421285	0.022198274	0.033203591	0.023536695	0.02851546	0.025542612	0.019503182	0.049356106	0.005300267	0.037275572	0.025538015	0.001004527	0.031287029	0.010295024	0.02879011	0.042204116	0.036181797	0.011214284	0.017911315	0.02162661	0.057987504
EPHA3	5.22E-05	0.000165397	0.000156381	8.96E-05	0.000846891	9.14E-05	5.38E-05	7.60E-05	6.18E-05	2.46E-05	9.95E-05	0.00011402	6.50E-05	4.79E-05	3.37E-05	6.65E-05	6.70E-05	7.34E-05	9.17E-05	0.000135719	5.66E-05	0.000169487	3.60E-05	7.97E-05	7.53E-05
EPHA5	2.80E-05	8.32E-06	1.20E-06	1.03E-05	0.000568144	2.61E-05	5.47E-07	7.55E-07	9.03E-08	0	1.52E-07	1.75E-06	9.21E-06	2.42E-06	8.21E-07	5.64E-05	9.17E-06	4.11E-06	2.04E-06	2.22E-06	4.10E-06	4.39E-05	9.73E-08	7.01E-07	1.31E-05
EPHA7	8.86E-05	0.000143216	0.000254331	5.88E-05	0.001319719	0.000112719	8.36E-05	6.51E-05	7.20E-05	7.22E-05	0.000242706	9.94E-05	6.07E-05	8.41E-05	3.72E-05	0.000145699	9.07E-05	0.000114377	0.000119101	0.000235028	0.000149532	0.00030961	5.54E-05	9.67E-05	6.42E-05
EPHB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB2	0.005596816	0.00575613	0.005996087	0.00523954	0.010204772	0.007459257	0.009005927	0.006320159	0.005885909	0.009654068	0.004879661	0.008774051	0.005368974	0.0057037	0.003850751	0.000492521	0.009476999	0.005789023	0.005623569	0.006750351	0.007119593	0.005670561	0.002772237	0.004276057	0.00706902
ERBB3	0.007281915	0.008253149	0.006481164	0.008850813	0.01929271	0.00955517	0.013314275	0.011693655	0.012449273	0.011769509	0.0078565	0.014844414	0.008846251	0.006759224	0.007907135	0.002795851	0.012138293	0.009981859	0.00884497	0.01202954	0.010514805	0.007001479	0.003717375	0.006775246	0.008287421
ERBB4	1.86E-05	1.33E-05	7.36E-06	3.76E-06	0.000280222	1.52E-05	1.25E-06	1.89E-06	2.31E-06	1.17E-06	2.20E-06	3.10E-06	7.86E-06	1.29E-06	1.37E-05	4.21E-05	6.20E-06	3.67E-06	4.94E-06	3.88E-06	7.97E-06	4.52E-05	7.31E-07	8.44E-07	4.24E-06
ERCC1	0.000206201	0.000190931	0.000136949	0.000205291	0.000211539	0.000259096	0.000246173	0.000292937	0.000262823	0.000239339	0.000250658	0.000286002	0.000216833	0.000152344	0.000178135	4.53E-06	0.000295395	0.000314746	0.000186074	0.000237682	0.00021232	0.000193922	0.000135622	0.00027757	0.000149018
ERCC2	8.21E-05	5.12E-05	3.02E-05	3.65E-05	0.000374285	8.17E-05	4.47E-05	3.59E-05	7.75E-05	5.32E-05	4.32E-05	3.78E-05	4.54E-05	3.49E-05	3.94E-05	6.34E-05	6.85E-05	3.51E-05	4.03E-05	2.31E-05	3.59E-05	0.000107089	2.08E-05	3.28E-05	4.33E-05
ERCC3	0.00100294	0.00097195	0.000683992	0.000870938	0.001833163	0.001110835	0.000942894	0.001099873	0.001043396	0.001118182	0.001122599	0.000868974	0.000538703	0.000705451	0.000886738	0.00015544	0.001049244	0.001313039	0.00075062	0.000909171	0.000908837	0.000815773	0.000550621	0.000716598	0.000771543
ERCC4	0.000122166	9.96E-05	9.34E-05	0.00012637	0.000859206	0.000105581	0.000107938	0.000108275	9.29E-05	0.000113333	0.000127967	8.59E-05	8.48E-05	7.67E-05	7.97E-05	0.000102593	0.000113648	0.000115883	0.00010159	9.96E-05	0.000106904	0.000163237	5.61E-05	7.57E-05	0.000130441
ERCC5	0.000975964	0.00113029	0.001769192	0.00152157	0.001574517	0.001123377	0.001771198	0.001737602	0.001202513	0.001296649	0.001799032	0.001362079	0.000716995	0.001270549	0.000951185	0.000115757	0.001251972	0.001475477	0.001584522	0.001650196	0.001788943	0.001457065	0.000682319	0.000990178	0.001675422
ERG	0.000121334	0.000393894	9.72E-05	0.000150452	0.001249103	0.00013699	0.000112374	0.000166619	0.000152226	4.82E-05	0.000120892	0.000164074	6.40E-05	0.000235332	0.000112546	0.000152268	8.88E-05	0.000362248	0.000153464	0.000210344	0.000203926	0.000171522	7.88E-05	0.000125059	0.000122562
ERRFI1	0.000342626	0.000338495	0.000823417	0.00040789	0.000954897	0.000467293	0.000570778	0.00050798	0.000359368	0.000431965	0.000400288	0.001251588	0.000349693	0.000542076	0.002168638	0.000137126	0.00034215	0.000323255	0.000413124	0.000319822	0.000788745	0.001146623	0.000159685	0.000277279	0.000690291
ESR1	7.92E-05	7.81E-05	4.40E-05	1.61E-05	0.001010884	9.09E-05	1.25E-05	2.78E-05	2.50E-05	2.01E-05	3.23E-05	4.18E-05	2.51E-05	2.03E-05	2.00E-05	0.000391899	6.06E-05	5.94E-05	1.47E-05	1.30E-05	2.29E-05	0.000755067	5.38E-06	2.09E-05	3.01E-05
ETV1	7.39E-05	0.000144614	0.000187001	0.000154675	0.000596798	0.000131759	0.00016617	7.31E-05	0.000135328	5.23E-05	0.000131618	0.000205499	0.000100174	0.000133549	0.00023356	5.35E-05	6.20E-05	6.70E-05	0.000140592	0.000167713	0.000258073	0.000275745	7.01E-05	7.03E-05	0.000207737
ETV4	0.000966199	0.000102479	0.000484233	0.00185119	0.001917462	0.00091962	0.002473402	0.000373043	0.0026963	0.000704907	0.000422935	0.002730748	0.001630821	0.000467556	0.002129276	0.000178934	0.000366156	0.000237768	0.0007488	0.00022228	0.001623809	0.000736403	0.000554816	0.00019089	0.001320099
ETV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV6	0.003693322	0.002839832	0.002688607	0.003438712	0.007381196	0.004149813	0.004551366	0.005137747	0.00438308	0.005269841	0.004430043	0.00378868	0.004361325	0.003070082	0.003945981	0.00086522	0.00459928	0.006119424	0.003284478	0.005610321	0.004079574	0.006269538	0.002994063	0.004546773	0.002779322
EWSR1	0.008698811	0.005873647	0.007117999	0.007751876	0.006337343	0.008465577	0.007205038	0.008481644	0.00821687	0.008086852	0.010639256	0.007667917	0.005098619	0.008016692	0.008886964	0.000695064	0.007994291	0.008496982	0.007438746	0.007983347	0.007949189	0.005727638	0.005480823	0.005570111	0.006411922
EXT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXT2	0.001652468	0.001678972	0.00157948	0.002312026	0.001354898	0.001637831	0.002021333	0.001707008	0.002024085	0.001675413	0.001542278	0.00193135	0.000962905	0.001705431	0.00128694	8.88E-05	0.001696367	0.00171371	0.001601926	0.001956273	0.002052527	0.001587139	0.001327506	0.001453437	0.001842748
EZH2	0.001113865	0.000659151	0.000564386	0.000646273	0.000650893	0.000962859	0.000788297	0.000790594	0.000585885	0.000891328	0.001179492	0.000426155	0.000391932	0.000620544	0.001049432	4.34E-05	0.000646546	0.000736511	0.001283085	0.000439289	0.000629564	0.000826093	0.000644292	0.000450772	0.000689862
FAM175A	4.71E-05	9.86E-05	7.01E-05	0.000166313	4.54E-05	6.75E-05	0.000157527	0.000122177	8.02E-05	8.82E-05	0.000140198	0.000112755	0.000109668	6.03E-05	6.65E-05	2.97E-06	7.73E-05	0.000152634	0.000143328	0.000165529	0.000153117	0.000153012	5.05E-05	0.000159578	0.000104045
FAM46C	0.000644869	0.00095514	0.001850887	0.001129949	0.001665358	0.000657716	0.000858727	0.001421644	0.000643628	0.001018698	0.002203415	0.0007583	0.000870099	0.000697597	0.000410613	0.000193442	0.001285027	0.002300544	0.00125897	0.000864894	0.001136399	0.002654149	0.001304144	0.001460341	0.000710491
FANCA	0.002307069	0.00090111	0.001072075	0.001195836	0.003741288	0.001722788	0.001417948	0.001647417	0.001200685	0.002188182	0.002863566	0.000547433	0.001665528	0.001193907	0.002115796	0.000642796	0.001384203	0.002694653	0.002102218	0.000506522	0.001142181	0.002096862	0.001254643	0.000645279	0.001162662
FANCC	0.000593042	0.000450266	0.000500712	0.000704961	0.00128796	0.000516358	0.000687042	0.000734932	0.00052979	0.000709532	0.000752197	0.000384111	0.000434362	0.000391752	0.000548027	0.000116358	0.000539354	0.000776649	0.000795434	0.000495307	0.00057532	0.001091504	0.000327205	0.000324261	0.000539818
FANCD2	0.000168027	0.000118297	0.000120957	0.000121986	0.000152859	0.000126742	0.000123316	0.000106533	7.90E-05	0.00016071	0.000209994	6.15E-05	8.88E-05	0.000145748	0.000156432	1.81E-05	0.00011276	0.00016566	0.000217629	6.30E-05	0.000103428	0.000244925	0.00014379	7.08E-05	0.000106144
FANCE	9.45E-05	5.07E-05	5.28E-05	4.48E-05	0.000525664	7.06E-05	7.25E-05	5.98E-05	6.19E-05	6.19E-05	4.89E-05	5.04E-05	6.56E-05	4.87E-05	9.07E-05	0.000112314	5.40E-05	4.93E-05	8.33E-05	4.08E-05	6.66E-05	0.000114684	4.11E-05	3.38E-05	5.01E-05
FANCF	0.000321526	0.000340538	0.000229612	0.000315576	0.001281418	0.000323343	0.000334452	0.000298296	0.000287668	0.000372553	0.000362557	0.000250624	0.000272657	0.000243288	0.000217429	0.000336931	0.000326707	0.00042226	0.000240244	0.000264646	0.000246053	0.000620042	0.000211108	0.000302278	0.00031067
FANCG	0.000322059	0.000195428	0.000160127	0.00017342	0.000369853	0.000309137	0.000266894	0.000185524	0.000178948	0.000331327	0.00028042	0.000141573	0.000126085	0.000164668	0.000254213	4.94E-05	0.000223895	0.000188031	0.000182122	0.000132632	0.000171942	0.000129169	0.000203159	0.000155695	0.000162202
FANCL	0.000173291	0.000163643	0.000119583	0.000208577	8.51E-05	0.000195335	0.000172505	0.000232244	0.000159074	0.000147827	0.000247907	0.000147542	6.81E-05	0.000137667	0.000139865	1.34E-06	0.000174309	0.000297515	0.000169977	0.000190824	0.000169689	0.000203131	0.000123979	0.000172223	0.000185388
FANCM	8.75E-05	5.13E-05	7.16E-05	7.14E-05	0.00026695	6.75E-05	7.95E-05	7.54E-05	4.22E-05	8.29E-05	0.000124085	4.35E-05	3.93E-05	6.18E-05	6.42E-05	3.52E-05	6.29E-05	0.000125293	9.68E-05	4.23E-05	6.45E-05	0.000134276	5.13E-05	2.87E-05	5.09E-05
FAS	0.000144421	0.000235611	0.000272278	0.000263455	0.000169127	0.000179824	0.00017629	0.000270917	0.00019548	0.000183049	0.000263845	0.000209274	0.000133306	0.000222817	0.000109771	1.76E-05	0.000195913	0.000185736	0.000215324	0.000286949	0.00021606	0.000216952	8.84E-05	0.000216197	0.000391514
FAT1	0.020809935	0.014155035	0.022009742	0.024501726	0.011154777	0.016080141	0.025270527	0.026931461	0.024224201	0.020331548	0.020930137	0.020669839	0.00879586	0.018243468	0.01393543	0.000888975	0.016597249	0.018417956	0.023533361	0.024347671	0.021418495	0.015704661	0.012499284	0.014752281	0.019984373
FBXW7	0.001789687	0.002011804	0.002863544	0.001895234	0.003417678	0.001986934	0.002392259	0.002561343	0.002618054	0.001835812	0.00316814	0.002271244	0.00192273	0.001861007	0.002012904	0.000484247	0.002008467	0.003372105	0.003218883	0.002595084	0.003030743	0.00784247	0.001559609	0.003593716	0.00154953
FGF10	0.000105427	0.000162794	4.41E-05	8.34E-05	0.001127405	8.64E-05	2.98E-05	5.33E-05	2.80E-05	3.28E-05	7.51E-05	3.60E-05	3.54E-05	6.21E-05	5.38E-05	0.000109304	4.02E-05	2.11E-05	9.55E-05	7.04E-05	4.04E-05	0.000279607	5.99E-05	6.61E-05	3.27E-05
FGF14	1.29E-05	1.00E-05	1.71E-06	5.52E-06	0.000216828	1.06E-05	7.34E-07	1.13E-06	8.31E-07	1.77E-07	1.72E-06	1.81E-06	5.04E-06	1.68E-06	2.16E-06	4.00E-05	5.18E-06	8.34E-07	2.06E-06	1.20E-06	5.37E-06	4.74E-05	5.69E-07	1.11E-06	5.02E-06
FGF19	1.13E-05	9.01E-07	1.29E-07	1.90E-06	0.000162593	9.08E-06	2.37E-07	8.53E-07	5.43E-06	0	2.40E-06	1.22E-06	6.58E-06	1.12E-06	3.38E-07	2.90E-05	2.88E-06	0	4.21E-06	5.38E-07	1.18E-06	4.01E-06	1.21E-06	1.86E-06	2.95E-07
FGF23	1.95E-05	3.43E-06	9.78E-07	1.40E-06	0.000450598	1.74E-05	3.29E-07	8.25E-07	4.94E-07	4.76E-07	1.54E-06	1.86E-06	5.47E-06	2.83E-06	7.76E-07	4.29E-05	7.30E-06	3.55E-06	1.52E-06	1.93E-06	1.72E-06	6.35E-05	5.70E-07	4.95E-07	1.53E-06
FGF3	2.57E-05	6.85E-06	9.16E-07	3.62E-07	0.000566743	1.99E-05	6.76E-07	4.38E-06	3.08E-06	3.27E-07	2.93E-06	3.98E-06	2.12E-05	3.75E-06	8.05E-07	0.000122335	1.12E-05	1.53E-06	5.46E-06	3.07E-06	5.61E-06	1.42E-05	2.59E-06	4.29E-06	8.43E-07
FGF4	1.77E-05	1.87E-06	2.66E-07	5.28E-07	0.000307437	1.23E-05	0	0	1.07E-06	0	1.06E-06	1.63E-06	8.55E-06	1.05E-06	1.41E-06	5.57E-05	3.31E-06	0	2.63E-06	8.94E-07	5.96E-06	4.30E-05	3.42E-07	6.68E-07	2.14E-06
FGF6	6.93E-05	5.61E-06	3.05E-06	5.67E-06	0.001256987	5.72E-05	0	2.33E-06	1.79E-06	7.73E-07	5.82E-07	5.71E-06	3.28E-05	8.31E-06	3.50E-06	0.000117837	2.01E-05	1.07E-05	7.92E-06	5.90E-06	5.76E-06	7.37E-05	5.64E-07	1.94E-06	4.02E-06
FGFR1	0.000401721	0.001170807	0.000665759	0.000709379	0.001732363	0.000512385	0.000432541	0.000475044	0.000740929	0.000294071	0.000643378	0.000667748	0.000366603	0.00044566	0.000933608	0.000231604	0.000428718	0.000646248	0.000599515	0.00074109	0.00050906	0.000609607	0.000431675	0.000431706	0.000403439
FGFR2	0.001726191	0.002496204	0.002154173	0.00359319	0.003758888	0.002139066	0.004528879	0.004659584	0.001650833	0.005274195	0.003381168	0.003862252	0.002489236	0.001944374	0.001328892	0.000227673	0.00320301	0.005673238	0.003371833	0.005915579	0.003643536	0.005541312	0.001445849	0.003280174	0.001640986
FGFR3	0.000994808	0.000474807	0.000804324	0.000487728	0.002307642	0.001506577	0.000770799	0.000795753	0.001328007	0.001619731	0.000670141	0.000582419	0.000628539	0.000589067	0.000654138	0.000193183	0.001281495	0.001104264	0.000698568	0.000625329	0.000694731	0.000891873	0.00032974	0.000357154	0.000297513
FGFR4	0.002987519	0.00123116	0.001197989	0.00144828	0.00535622	0.002257377	0.001885236	0.001497986	0.002359175	0.002885874	0.001994525	0.001375154	0.001307841	0.001076446	0.001146001	0.002868843	0.001957877	0.001295308	0.001429387	0.000711108	0.001515189	0.001164765	0.001474449	0.001253385	0.001069806
FH	0.003610658	0.003324102	0.004329045	0.004131628	0.001078141	0.002706144	0.002961639	0.002707765	0.002973262	0.003213467	0.002715957	0.002846937	0.000802879	0.003033893	0.003086891	8.01E-05	0.002956399	0.002070402	0.003377949	0.003806728	0.002787451	0.001984666	0.004315728	0.002850221	0.004179658
