geneid	Sam_20CF30184F	Sam_20FC40151F	Sam_20FC40237F	Sam_20FC40679F	Sam_20FC40819F	Sam_20FC40828F	Sam_20FC40862F	Sam_20FC40894F	Sam_20FC40946F	Sam_20ZN11229T	Sam_20ZN11880F	Sam_20ZN13419F	Sam_20ZN13511F	Sam_20ZN13514F	Sam_20ZN14432T	Sam_20ZN14604F	Sam_20ZN21802F	Sam_20ZN22517F	Sam_20ZN22870F
DNMT1	0.004004575	0.003383114	0.001594197	0.001944006	0.006378039	0.001309314	0.001141939	0.002043814	0.004706871	0.001097789	0.002379059	0.002289712	0.00150472	0.007258298	0.002913905	0.007718786	0.000846286	0.002533442	0.001382461
DNMT3A	0.001852829	0.001231757	0.001519031	0.000318495	0.000490653	0.00043538	0.000704828	0.0012552	0.000902769	0.001682178	0.001297497	0.000317189	0.000798838	0.000820736	0.000998782	0.000409747	0.000495196	0.003271279	0.000724214
DNMT3B	0.000416686	0.000136873	0.000126283	5.60E-06	2.26E-05	3.68E-05	1.27E-05	9.18E-05	3.78E-05	0.000126017	7.93E-05	7.05E-06	2.14E-05	2.46E-05	1.63E-05	8.94E-06	6.33E-05	0.000308539	1.15E-05
DOT1L	0.000702009	0.000348802	0.00028858	3.03E-05	0.000150706	5.11E-05	8.49E-05	0.00042697	0.000677339	6.10E-05	0.000397153	3.20E-05	5.02E-05	0.000104898	4.88E-05	0.00010398	0.000187421	2.04E-06	7.08E-05
DPYD	5.22E-05	5.26E-05	0.000173232	7.71E-05	1.43E-05	2.70E-05	3.30E-05	4.83E-05	7.51E-05	4.76E-05	0.000171522	4.71E-05	0.000178225	2.72E-05	1.81E-05	5.58E-05	0.000116188	0.000724323	0.000112911
DYNC2H1	0	0	0	2.92E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F3	0.000450949	0.000476949	0.000201394	7.18E-05	6.22E-05	6.29E-05	4.41E-05	0.000293527	0.000153592	0.000146928	0.000209026	7.80E-05	4.47E-05	0.000143821	9.92E-05	6.39E-05	0.000135312	2.23E-05	4.71E-05
EED	0.000153592	0.000173941	0.000120966	0.000119533	0.000135067	4.84E-05	0.000117324	8.27E-05	0.000113679	2.89E-05	0.000117702	0.000122604	0.000155698	0.000107461	7.78E-05	7.82E-05	7.74E-05	0.0007284	0.000121306
EGFL7	0.001794573	0.000474119	0.003725502	1.48E-05	2.27E-05	8.25E-06	1.45E-05	0.001110864	0.002212476	7.10E-05	0.001492524	1.02E-05	2.42E-05	1.12E-05	1.01E-05	1.64E-05	0.000495779	0	6.22E-05
EGFR	0.002309664	0.000817569	0.003182591	0.001374121	0.001152501	0.000777395	0.001070244	0.001137837	0.000709253	0.003980281	0.000965723	0.001578448	0.001497363	0.001414036	0.00151019	0.001289371	0.001161766	0.00520221	0.001604431
EIF1AX	6.25E-05	0.000214794	8.37E-05	9.84E-05	0.000250312	0.000123997	4.05E-05	4.65E-05	5.08E-05	7.57E-06	0.000115463	0.000172557	0.000100435	0.00027848	5.27E-05	0.000113134	6.18E-05	0	2.84E-05
EIF4A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4E	0.000162845	0.00017115	8.55E-05	0.000141766	0.00010623	0.000126268	1.48E-05	9.78E-05	5.71E-05	1.28E-06	6.20E-05	0.000166586	8.61E-05	5.19E-05	9.76E-05	0.000108946	0.000147159	7.56E-07	7.00E-05
ELAC2	0.001393857	0.001513392	0.001604977	2.12E-05	6.02E-05	2.78E-05	6.59E-05	0.001094954	0.001492089	8.78E-05	0.0016315	1.85E-05	7.08E-05	6.66E-05	3.92E-05	1.60E-05	0.000603699	0	5.29E-05
EP300	0.000685159	0.001048804	0.001310481	0.000101949	0.000152168	7.63E-05	9.07E-05	0.000750221	0.00081293	1.42E-05	0.00102252	0.000152141	0.000113397	0.000109771	7.54E-05	0.000165506	0.000638789	5.74E-07	6.49E-05
EPCAM	0.009740987	0.033721339	0.011189894	0.023929264	0.018602412	0.019299006	0.01832709	0.024821899	0.009728281	0.009562071	0.021987861	0.022836654	0.021308249	0.024622812	0.025991939	0.029489183	0.005559372	0.001090074	0.020029197
EPHA3	0.00018731	8.38E-05	0.001577461	4.03E-05	1.97E-06	2.11E-05	2.35E-05	7.62E-05	3.59E-05	0.000365998	8.64E-05	3.96E-05	7.09E-05	6.42E-06	3.06E-05	4.06E-05	8.02E-05	0.000254991	3.33E-05
EPHA5	9.11E-05	5.87E-07	3.10E-06	2.25E-06	5.32E-08	3.48E-06	1.02E-06	3.36E-06	2.65E-06	0.000240651	2.61E-06	2.01E-07	1.24E-06	1.63E-07	5.55E-06	1.81E-06	1.51E-06	0.000856524	1.40E-06
EPHA7	0.000293064	0.000125982	4.49E-06	4.89E-06	5.01E-06	7.41E-08	6.53E-06	5.80E-05	4.40E-05	0.000132693	9.30E-05	4.21E-05	0.000124411	4.33E-07	7.29E-06	1.14E-05	1.50E-05	0.000217067	0.000154079
EPHB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB2	0.003975979	0.002671371	0.005892166	0.048146232	0.003219784	0.001579849	0.006931032	0.096364731	0.004668777	0.00468217	0.004936238	0.002098995	0.002843729	0.004854091	0.003248172	0.002000091	0.000837892	0.001429389	0.005043366
ERBB3	0.016098891	0.005528644	0.005063594	0.003012805	0.00485522	0.00627342	0.008768545	0.005488079	0.006461179	0.011155026	0.007310359	0.003088953	0.009711757	0.010774561	0.007152842	0.004710996	0.002147992	0.002833995	0.00452897
ERBB4	5.18E-05	2.45E-07	1.26E-06	2.65E-06	2.31E-07	1.78E-07	4.91E-06	3.70E-07	1.17E-06	0.0004511	7.80E-07	8.14E-07	3.58E-06	4.90E-06	1.24E-05	0	1.72E-05	0.000821635	4.41E-06
ERCC1	0.000120568	7.61E-05	0.000200131	8.63E-05	0.000184038	0.000159843	0.000178014	0.000116765	9.87E-05	7.24E-06	0.000122281	0.000123533	0.000103279	0.000146956	0.000173852	0.000114237	8.00E-05	0	0.000170618
ERCC2	0.000274408	5.55E-05	9.13E-05	1.84E-05	2.80E-05	1.76E-05	3.01E-05	7.03E-05	0.00015564	0.000270788	5.35E-05	1.08E-05	2.77E-05	2.52E-05	3.05E-05	2.74E-06	2.23E-05	1.09E-05	4.29E-05
ERCC3	0.001009217	0.000915021	0.001141872	3.18E-05	6.73E-05	6.66E-05	9.17E-05	0.000825102	0.000662554	0.000204465	0.0007091	5.00E-05	0.00011663	0.000127183	0.000114502	1.52E-05	0.000379217	5.01E-05	0.000108721
ERCC4	0.000201357	0.000102414	8.28E-05	1.21E-05	1.68E-05	1.07E-05	3.68E-05	0.000120133	6.22E-05	0.000180494	8.23E-05	1.23E-05	3.01E-05	1.67E-05	2.31E-05	2.08E-05	4.65E-05	0.0004049	2.36E-05
ERCC5	0.001187188	0.001369295	0.000944303	0.000152592	0.000103866	7.62E-05	0.000295127	0.001090702	0.000939	0.000111017	0.00146913	0.000170002	0.00024895	0.000119859	0.000466678	7.39E-05	0.000707704	0.000232266	0.000190036
ERG	0.000322126	0.000122481	0.001651415	3.04E-05	3.57E-05	1.62E-05	5.48E-05	0.000243522	0.000220996	0.000301487	0.000268335	2.59E-05	6.53E-05	2.29E-05	2.39E-05	4.61E-05	0.000183203	0.000488125	3.56E-05
ERRFI1	0.001327205	0.001067226	0.001404054	0.001156247	0.001821409	0.001281156	0.001040666	0.000353789	0.000685065	0.002515493	0.000669972	0.002390207	0.000916611	0.000619204	0.000782855	0.001277063	0.003467497	0.001901109	0.000917604
ESR1	0.000383869	2.44E-05	0.000136973	2.62E-05	9.54E-06	3.86E-05	0.000104867	2.27E-05	2.60E-05	0.001607612	4.64E-05	5.78E-06	3.72E-05	4.65E-06	5.72E-05	1.60E-05	3.26E-05	0.002320901	4.77E-05
ETV1	0.000220573	9.47E-05	0.00058185	0.000250037	0.000245723	6.19E-05	0.000259813	0.00014612	0.000120562	0.000709872	0.000122237	0.000826216	0.000184719	8.25E-05	0.000245615	0.00100443	0.000285948	0.002507309	0.000116606
ETV4	0.003345551	0.001405335	0.000420184	0.000141749	0.000136505	0.000274409	0.000330765	0.002243117	0.000877787	0.000218914	0.001044816	0.000114036	0.000100492	0.000422133	0.000491598	0.000196804	0.000778261	0.000477676	4.00E-05
ETV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV6	0.002721613	0.002095783	0.004574992	0.001044982	0.003516616	0.001160277	0.003590164	0.003399601	0.004128882	0.006375926	0.002624743	0.001275458	0.002515783	0.002561871	0.002954374	0.003113455	0.001362671	0.009853976	0.002822526
EWSR1	0.005939139	0.005625373	0.006612069	0.002490798	0.006924719	0.003041282	0.006061268	0.005131352	0.010151215	0.003234844	0.007594083	0.002465663	0.003939888	0.006545375	0.003521983	0.003882592	0.003022918	0.001818466	0.004637802
EXT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXT2	0.001330331	0.001721913	0.002329794	0.000119376	7.70E-05	9.98E-05	0.000169109	0.00140337	0.000707957	0.000130268	0.001397612	0.000109492	0.000202937	6.72E-05	0.000134655	8.72E-05	0.000496614	0	0.000195022
EZH2	0.001309053	0.001414132	0.00036361	0.000691656	0.001795185	0.000688217	0.000533368	0.000415922	0.000499217	0.000651065	0.000833557	0.000740359	0.000706104	0.00194059	0.001377469	0.001179305	0.000261884	0.001829326	0.000589667
FAM175A	2.31E-05	4.32E-05	6.47E-05	5.66E-05	5.68E-05	9.45E-05	4.89E-05	1.49E-05	8.21E-06	3.70E-07	3.03E-05	0.000103614	5.61E-05	2.32E-05	2.58E-05	0.000121483	3.92E-05	0	2.37E-05
FAM46C	0.000270599	0.000634408	0.000241348	3.78E-05	2.58E-05	1.47E-05	9.57E-05	0.000175198	0.000322164	0.000441803	0.000724175	3.00E-05	0.000136548	1.41E-05	7.62E-05	7.42E-05	0.000280135	0.000490297	0.000198404
FANCA	0.002886195	0.0015213	0.0003712	0.000277577	0.001283083	0.000316087	0.000533812	0.001838024	0.001567004	0.000596108	0.00152869	0.000261435	0.000524647	0.001097032	0.000659543	0.000279241	0.000543787	0.001046477	0.000502142
FANCC	0.000710554	0.000436877	0.000364252	5.83E-05	5.12E-05	2.54E-05	6.62E-05	0.000402317	0.000193517	0.000295093	0.000354677	6.15E-05	0.000100466	0.000116495	0.000132957	5.64E-05	0.000202236	8.42E-06	8.45E-05
FANCD2	0.00017493	0.000169124	2.70E-05	1.59E-05	1.85E-05	6.03E-06	1.14E-05	0.000118538	0.00010572	1.71E-05	0.000144201	1.54E-05	2.27E-05	3.57E-05	2.18E-05	5.63E-06	3.75E-05	0	1.92E-05
FANCE	0.000425105	0.000122477	7.18E-05	1.67E-05	2.26E-05	7.58E-06	2.22E-05	0.000113903	0.00011784	0.000222816	8.02E-05	1.38E-05	1.36E-05	1.27E-05	3.23E-05	7.95E-06	2.70E-05	3.09E-06	1.80E-05
FANCF	0.000651438	0.000208118	0.000284155	5.46E-05	1.77E-05	4.64E-05	4.78E-05	0.000369404	0.000190766	0.000374025	0.000249062	4.46E-05	5.15E-05	4.40E-05	7.61E-05	2.86E-05	9.75E-05	0.000550819	4.68E-05
FANCG	0.000300918	0.000239069	0.000179316	2.71E-05	0.000103028	2.76E-05	4.47E-05	0.000141428	0.000173737	5.95E-05	0.000215013	3.95E-05	4.04E-05	7.00E-05	8.43E-05	4.04E-05	4.91E-05	0	6.92E-05
FANCL	5.62E-05	0.000133075	8.48E-05	7.87E-05	9.59E-05	6.72E-05	8.24E-05	7.40E-05	1.99E-05	8.39E-05	9.63E-05	8.34E-05	6.98E-05	5.08E-05	0.000144379	6.39E-05	5.83E-05	0.000788871	6.58E-05
FANCM	0.000175104	7.43E-05	3.21E-05	0	0	0	0	6.15E-05	5.36E-05	0	5.21E-05	0	3.25E-08	0	0	0	2.55E-05	4.50E-07	0
FAS	5.79E-05	0.000131715	0.000143972	4.27E-05	9.49E-05	1.49E-05	0.000128528	3.72E-05	3.96E-05	0.000186935	0.000110579	3.89E-05	0.000141807	1.75E-05	2.18E-05	6.55E-05	6.86E-05	0.000556189	0.000121174
FAT1	0.013289369	0.013439299	0.018117454	8.32E-05	0.000130311	0.000122178	0.0001204	0.008401206	0.006994264	7.17E-05	0.009546944	8.43E-05	9.04E-05	0.000191155	8.93E-05	9.36E-05	0.002958165	0.000133971	7.33E-05
FBXW7	0.001213814	0.00176115	0.001645918	0.00143225	0.00141373	0.000930119	0.001959033	0.000888289	0.001245008	0.002316771	0.001507248	0.001660478	0.00230443	0.001333252	0.001042887	0.002703765	0.001189514	0.013566813	0.001339661
FGF10	0.000307315	4.57E-05	0.000490675	7.68E-05	1.48E-05	2.78E-07	5.13E-06	0.000125336	6.04E-05	0.000988127	8.35E-05	3.29E-05	0.000167349	0	1.63E-05	0.000176069	7.55E-05	0.00035221	7.37E-05
FGF14	9.09E-05	2.42E-07	4.86E-05	8.60E-06	5.77E-07	4.09E-06	5.13E-06	1.46E-06	2.54E-06	0.000109466	3.01E-06	6.30E-06	4.53E-06	2.60E-06	1.25E-05	1.08E-05	5.97E-06	0.00078399	2.67E-06
FGF19	4.99E-05	1.26E-06	1.67E-07	1.31E-05	4.80E-07	2.64E-07	5.80E-06	5.76E-06	0	0.000661214	2.11E-05	4.90E-05	1.81E-07	4.46E-05	1.80E-05	0	4.31E-06	3.33E-05	4.83E-07
FGF23	0.000151088	1.31E-05	2.42E-06	0	2.74E-06	4.56E-08	4.79E-06	1.11E-06	7.42E-06	0.000513366	1.56E-06	0	0	5.40E-08	2.72E-05	4.33E-07	7.06E-07	0.000481928	0
FGF3	0.000420268	2.26E-07	2.86E-06	1.13E-06	8.56E-08	0	4.99E-06	6.77E-06	3.14E-06	0.000952517	7.07E-06	1.07E-07	1.29E-07	8.88E-07	1.91E-05	0	2.45E-06	8.73E-06	0
FGF4	0.000186528	1.66E-07	1.04E-06	0	0	0	0	8.30E-07	0	0.000329679	3.83E-06	0	5.63E-07	0	4.85E-06	0	1.29E-06	2.51E-06	0
FGF6	0.00042243	5.57E-07	5.70E-06	0	6.12E-07	0	1.22E-05	1.36E-06	6.04E-06	0.000913374	3.83E-07	0	0	0	1.82E-05	1.56E-06	3.14E-06	0.002375558	0
FGFR1	0.001505207	0.000600014	0.004847988	0.000817163	0.000551938	0.000314862	0.000849383	0.000960342	0.001461503	0.001541369	0.000650365	0.000802448	0.001692825	7.53E-05	0.000194008	0.001902593	0.001465555	0.004617918	0.001453168
FGFR2	0.000818011	0.000280376	0.00075387	0.000509835	0.000554823	0.000802201	0.002040276	0.000777795	0.001470207	0.003414558	0.001166979	0.002708842	0.001636739	0.001705217	0.000557309	0.001753452	0.000735445	0.010347439	0.002266574
FGFR3	0.000748634	0.000372144	0.000364144	0.000346221	0.000244997	0.000219353	0.000327294	0.000901635	0.000538746	0.001514327	0.000747966	8.16E-05	0.000482883	0.000410666	6.42E-05	0.000123726	0.000446056	0.000458607	0.000485143
FGFR4	0.00321013	0.001484852	0.000621152	0.000749183	0.000447096	0.001380921	0.001456151	0.001950366	0.000748876	0.007062368	0.001952187	0.000431366	0.000719905	0.000386922	0.000437279	0.00101232	0.000537985	0.001916291	0.00090072
FH	0.000904062	0.002317571	0.001874528	0.000418288	0.000422407	0.000479535	0.000339088	0.001911798	0.001328664	0.000110433	0.001814056	0.000359247	0.00043823	0.000745791	0.000341045	0.000372294	0.000543215	0.000454039	0.000544576
FLCN	0.001664965	0.000518416	0.002162871	2.73E-05	3.21E-05	3.02E-05	9.86E-05	0.000825179	0.000936114	1.05E-05	0.00078221	2.95E-05	0.00010215	2.66E-05	2.55E-05	1.99E-05	0.000368302	0	0.000118977
FLT1	0.000337131	0.000644588	0.001060323	5.89E-05	3.23E-05	4.10E-05	1.73E-05	0.000126152	0.000158266	2.57E-05	0.00026957	0.000119531	5.07E-05	2.71E-05	5.15E-05	6.57E-05	0.000257509	0.000114309	4.81E-05
FLT3	4.23E-05	2.22E-05	2.13E-06	1.25E-05	1.23E-06	5.28E-06	3.05E-05	5.93E-05	7.10E-06	0.000183913	7.22E-05	9.10E-06	6.33E-05	5.46E-06	2.31E-05	2.01E-05	3.30E-05	0.000703467	4.06E-05
FLT4	0.000488556	0.000153006	0.000617635	6.63E-06	2.29E-06	5.02E-06	2.79E-06	0.000190975	0.000303923	2.45E-05	0.000380663	6.07E-06	1.35E-05	4.86E-06	4.67E-06	3.00E-06	0.000113206	0	9.57E-06
FOXA1	0.000711318	0.000104092	5.36E-06	2.08E-05	7.19E-05	1.12E-05	7.22E-05	5.25E-05	0.00019481	0.000519028	0.000156741	8.73E-05	2.97E-05	7.45E-05	0.000182988	0.000131124	2.54E-05	0.000503136	0.000138363
FOXL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXO1	0.001286325	0.000796435	0.002366281	0.000179316	0.000138693	0.000279582	0.000238416	0.000492025	0.001125749	0.000763324	0.00100926	0.000259076	0.000483863	4.82E-05	0.000246567	0.000145504	0.000826937	0.001056449	0.000358307
FOXP1	0.000452944	0.000988184	0.001772729	0.000204257	0.000195053	0.00015134	0.000396124	0.000862458	0.001335218	0.000222814	0.000880895	0.000276118	0.00027676	0.00017543	0.000340487	0.000542812	0.000554266	0.000657121	0.00030064
FRS2	0.000148335	0.000176313	0.000198446	3.08E-05	1.72E-05	1.45E-05	2.92E-05	9.23E-05	8.58E-05	1.64E-05	0.000112139	3.02E-05	4.18E-05	2.62E-05	2.52E-05	1.23E-05	0.000110119	0.000337159	2.75E-05
FUBP1	0.002129217	0.002798174	0.001823919	0.000420571	0.00089325	0.000227708	0.000485764	0.00173357	0.002037326	7.22E-05	0.002319688	0.000519658	0.000634551	0.000634268	0.000476695	0.00055182	0.001001522	0.000363543	0.000319535
FYN	0.000212495	0.000522186	0.001049986	8.11E-05	4.43E-05	2.21E-05	7.10E-05	0.000164763	0.000325228	0.000122582	0.000486738	0.00018503	0.000176249	1.81E-05	0.000272236	0.000105057	0.000253951	0.000209676	0.000132603
GABRA6	0.000102363	7.71E-08	2.65E-06	0	1.18E-07	0	5.69E-06	0	2.80E-06	0.000457081	4.42E-07	0	0	0	6.55E-06	0	1.01E-06	0.000140492	1.58E-07
GATA1	0.00023545	5.72E-06	1.96E-05	5.85E-06	5.41E-07	6.04E-06	1.75E-06	9.74E-06	7.27E-06	0.001339905	1.90E-05	2.93E-06	9.37E-06	1.82E-05	3.03E-05	8.88E-06	5.04E-06	0.00407356	1.10E-05
GATA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA3	0.000361243	3.42E-05	3.56E-05	1.53E-05	1.11E-05	1.32E-05	5.74E-05	2.67E-05	6.12E-05	0.000445751	9.47E-05	2.44E-05	2.98E-05	4.20E-06	1.57E-05	4.61E-05	4.92E-05	0.00151547	2.32E-05
GATA4	7.54E-05	6.31E-08	0.000111015	0	0	9.66E-06	0	0	3.62E-05	3.30E-05	1.81E-07	8.51E-07	0	0	8.12E-06	0	8.09E-05	7.93E-05	6.47E-08
GATA6	0.000310633	0.000395586	0.000238607	9.87E-05	0.000239414	9.09E-05	0.000159822	0.000455204	0.000265691	0.000205064	0.000437905	0.000140223	0.00012682	0.000105791	0.000212078	0.000221317	0.000142695	6.21E-05	0.000131771
GLI1	0.000891686	0.000155461	0.001432998	8.46E-05	0.000127556	5.49E-05	0.001186567	0.000213245	0.000110638	0.001754433	0.000224268	0.000136768	0.000403964	6.24E-05	0.000195267	0.000241379	0.000109868	9.28E-06	0.000352553
GNA11	0.002769121	0.00235201	0.004047377	0.000588835	0.000939137	0.000816083	0.001476504	0.002230325	0.001810009	0.001846536	0.005209013	0.000945408	0.001706223	0.001796296	0.000743817	0.001175275	0.000687704	3.54E-05	0.003806919
GNA13	0.000286381	0.000414975	0.000497391	8.31E-05	8.38E-05	7.53E-05	0.000118573	0.000320022	0.000293883	0.000254781	0.00035409	9.43E-05	0.000178225	0.000112839	6.51E-05	7.08E-05	0.000272567	0.000337639	0.000183096
GNAQ	0.000497897	0.001010101	0.001223161	0.001021396	0.001057649	0.000566793	0.001556085	0.000489636	0.000594573	0.000480154	0.000795775	0.001471083	0.001528095	0.000724946	0.000929349	0.002040295	0.000357206	0.002246188	0.001278471
GNAS	0.033339034	0.036411357	0.047058108	0.017729131	0.020614151	0.019783269	0.017035662	0.009512242	0.010773305	0.007037781	0.025388394	0.007722096	0.027361433	0.01667903	0.02869702	0.017882227	0.009813274	0.00373296	0.017733457
GPS2	0.001567332	0.001686712	0.002210464	0.000438841	0.001146567	0.000643178	0.000915311	0.00116331	0.002140712	2.68E-05	0.001648809	0.000561562	0.000822681	0.000378701	0.000393663	0.000988865	0.000880408	0	0.000775117
GREM1	0.000907648	0.000466841	0.000432211	0.000255068	3.82E-05	1.24E-05	4.98E-05	0.001399793	0.002309485	0.000322025	0.000352732	0.0001637	0.000378432	1.83E-05	3.04E-05	0.000616205	0.001551039	0.000639372	0.000307335
GRIN2A	0.000438936	1.83E-06	5.21E-05	1.03E-06	2.45E-08	8.58E-07	7.06E-06	9.92E-06	3.74E-06	0.000517662	2.36E-05	1.30E-06	1.69E-06	1.66E-06	8.40E-06	1.03E-05	1.11E-05	0.000661856	5.73E-06
GRM3	0.000655353	7.95E-06	1.78E-05	5.62E-08	0	3.45E-07	2.22E-06	2.07E-06	1.15E-05	0.000692748	5.70E-06	1.71E-07	5.10E-07	1.77E-06	1.95E-05	4.60E-06	4.24E-06	0.000286328	1.96E-06
GSK3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GSTP1	0.00673556	0.004106394	0.004361481	0.001951037	0.003299739	0.000156623	0.005204557	0.003560693	0.004422959	0.00106457	0.003641796	0.004980536	0.00293127	0.004948759	0.004145963	0.002156004	0.001789058	0	0.00228623
H3F3A	0.001997808	0.001973444	0.002885565	1.64E-06	4.02E-07	7.33E-07	2.62E-06	0.003517731	0.000620742	0	0.002372259	1.00E-06	2.02E-07	4.84E-07	6.28E-07	1.03E-06	0.001087846	4.67E-06	2.16E-06
H3F3B	0.002446867	0.002695014	0.004066513	0.000149226	0.000228439	0.000206085	0.000483469	0.002460289	0.002542858	0.00025826	0.002552618	0.000239543	0.000264653	0.000445508	0.000223156	0.000173303	0.002033687	0	0.000529222
H3F3C	0.000519708	2.31E-05	4.74E-05	2.17E-06	3.85E-06	1.89E-06	0	1.91E-05	2.66E-05	0.000557925	2.82E-05	1.49E-06	2.61E-06	3.26E-06	1.35E-05	2.74E-06	1.10E-05	0.001664681	3.04E-06
HGF	0.000389108	0.000697478	0.000689727	0	0	0	0	0.000148537	7.07E-05	0	0.000270458	0	0	0	0	0	0.000131601	0	0
HIST1H1C	0.025882823	0.019003462	0.022053178	0.007540373	0.015179022	0.006128269	0.012737285	0.02674248	0.026671162	0.005710899	0.024316302	0.014074263	0.016026795	0.01516441	0.025213806	0.004841155	0.008188618	0.003958294	0.020781072
HIST1H2BD	0.016499245	0.018568816	0.008107192	0	0	0	0	0.018502706	0.012079605	0	0.010979993	4.02E-07	1.51E-06	1.26E-06	2.72E-07	0	0.004901995	0	0
HIST1H3A	0.003123543	0.002882387	0.001435785	0	3.88E-07	0	0	0.001237503	0.002073144	0	0.00181056	0	0	0	0	0	0.000346601	0	0
HIST1H3B	0.01464214	0.018846853	0.003709576	0.001226686	0.002763617	0.000463213	0.000229375	0.015691877	0.019169123	0.000796397	0.013405511	0.000811687	0.001404964	0.001756836	0.001881224	0.001008704	0.002240235	7.91E-05	0.002100741
HIST1H3C	0.010220839	0.007195348	0.001324943	9.48E-07	2.01E-05	1.74E-06	0	0.000979391	0.006961162	5.75E-06	0.013366308	4.84E-07	1.23E-06	7.57E-06	5.04E-06	9.92E-07	0.001095269	0	2.75E-06
HIST1H3D	0.007424685	0.007071907	0.002422849	6.87E-07	1.69E-07	0	0	0.005673841	0.008003688	0	0.005688137	1.05E-06	2.48E-06	3.84E-07	2.67E-07	0	0.000827136	0	4.56E-07
HIST1H3E	0.002923029	0.000444902	0.000539469	0	0	0	0	0.000318362	0.000222502	0	0.000484768	0	0	0	0	0	4.71E-05	0	0
HIST1H3F	0.018199074	0.005588261	0.002158842	7.08E-06	5.88E-06	1.27E-06	0	0.003862419	0.002398162	1.86E-06	0.006637185	6.13E-06	1.37E-05	1.43E-05	3.26E-07	9.68E-07	0.001648889	7.32E-06	1.07E-06
HIST1H3G	0.01247862	0.001736318	0.002417815	4.62E-06	3.13E-06	0	0	0.000728929	0.003018161	1.86E-06	0.00949294	0	6.56E-06	5.41E-06	0	0	0.001586657	0	5.34E-07
HIST1H3H	0.011385487	0.014158815	0.002477011	0	1.54E-06	0	0	0.008313214	0.011188971	0	0.008842009	4.63E-07	5.85E-07	9.65E-07	0	0	0.001989183	7.19E-06	0
HIST1H3I	0.008651999	0.006053991	0.00501226	5.97E-07	2.65E-06	0	0	0.006932389	0.004624771	3.60E-06	0.009598365	0	2.31E-06	1.91E-06	0	0	0.001389616	0	0
HIST1H3J	0.00146295	0.001215733	0.001218984	0	0	0	0	0.001823277	0.007082655	0	0.004418216	0	0	0	0	0	0.000739825	0	5.15E-07
HIST2H3D	0.006030081	0.003429183	0.002125874	2.62E-06	0	1.04E-06	0	0.003946909	0.008214081	4.65E-06	0.004737481	1.15E-06	1.48E-06	6.00E-07	4.11E-07	0	0.000920454	0	0
HIST3H3	0.001455783	2.20E-05	0.000118556	1.53E-05	7.09E-06	3.63E-06	5.37E-05	0.000251105	8.55E-05	0.000680463	6.10E-05	5.41E-06	2.27E-05	4.18E-05	4.45E-05	1.20E-05	2.11E-05	0.000301361	2.49E-05
HLA-A	0.019260251	0.026323119	0.031068077	1.61E-06	1.60E-07	5.96E-06	1.55E-05	0.018324303	0.022366741	1.83E-05	0.047844379	3.19E-06	1.54E-06	9.06E-07	9.45E-07	2.01E-06	0.013549453	0	7.22E-06
HNF1A	0.001772897	0.000578505	0.000393883	2.32E-05	9.14E-05	8.68E-05	7.90E-05	0.000850188	0.000995338	0.000623085	0.000828817	3.61E-05	0.000123058	0.000150154	9.56E-05	3.81E-05	0.000188074	0	9.03E-05
HOXB13	0.00149782	0.001055279	0.000163268	1.26E-06	0.000107811	7.62E-06	0.000112775	0.000167657	0.000158676	5.47E-05	1.02E-05	1.66E-06	4.85E-05	3.76E-06	3.66E-06	6.94E-05	1.57E-06	0.000193586	4.68E-05
HRAS	0.001602264	0.000731512	0.001159143	0.000171374	0.000384554	0.000287408	0.000274154	0.00076223	0.000821639	0.000299478	0.000583571	0.00034158	0.000320219	0.000525654	0.000414014	0.00028315	0.000280698	1.21E-05	0.000387977
HSD17B3	1.11E-05	1.11E-05	1.07E-05	0	4.88E-07	2.14E-06	0	2.71E-05	1.57E-05	0	8.52E-05	1.22E-06	3.13E-06	6.30E-07	5.27E-07	0	1.99E-05	0	2.28E-06
HSD3B1	0.000179585	7.74E-06	1.05E-05	6.42E-08	0	2.40E-06	0	7.04E-05	2.14E-06	0.001293235	4.43E-05	1.96E-07	1.06E-06	2.76E-05	3.82E-05	1.42E-06	4.08E-05	0.000534819	3.35E-06
HSD3B2	0.000109742	2.53E-06	2.71E-06	3.89E-07	7.21E-07	3.46E-07	1.53E-06	1.49E-05	3.32E-06	0.001473836	0.000392349	1.48E-06	2.11E-06	5.50E-07	2.53E-05	3.07E-06	3.46E-06	0.001895766	0.000179537
ICOSLG	0.000115628	2.04E-05	5.75E-05	5.13E-06	2.40E-05	1.37E-05	2.03E-05	4.79E-05	3.64E-05	8.69E-05	2.91E-05	1.01E-05	2.65E-05	2.43E-05	2.92E-05	2.87E-05	1.84E-05	0	3.36E-05
